Size,Head_Diameter,Head_Height,Socket_Size,Socket_Depth
M3-0.5, 5.700, 1.65, 2.00, 1.04
M4-0.7, 7.60, 2.20, 2.50, 1.30
M5-0.8, 9.50, 2.75, 3.00, 1.56
M6-1.0, 10.50, 3.30, 4.00, 2.08
M8-1.25, 14.00, 4.40, 5.00, 2.60
M10-1.50, 17.50, 5.50, 6.00, 3.12
M12-1.75, 21.00, 6.60, 8.00, 4.16
