Size,SKT:d,SKT:D,SKT:B,SKT:d1,SKT:D1,SKT:r
M4-9-2.5,4,9,2.5,5.2,7.5,0.1
M4-11-4,4,11,4,6.1,9,0.15
M4-12-4,4,12,4,6.1,9.9,0.2
M4-13-5,4,13,5,6.7,10.3,0.2
M4-16-5,4,16,5,8.4,12,0.3
M8-16-4,8,16,4,10.5,13.5,0.2
M8-19-6,8,19,6,10.5,15.5,0.3
M8-22-7,8,22,7,12.1,17.6,0.3
M8-24-8,8,24,8,14.4,19.8,0.3
