Size,Socket_Size,Socket_Depth
M1.6-0.35,0.7,0.6
M2-0.4,0.9,0.8
M2.5-0.45,1.3,1.1
M3-0.5,1.5,1.5
M4-0.7,2,1.8
M5-0.8,2.5,2.7
M6-1.0,3,3
M8-1.25,4,4
M10-1.5,5,5
M12-1.75,6,6
M16-2.0,8,8
M20-2.5,10,9
