Size,iso4026:s,iso4026:t,iso4026:short,iso4026:long
M1.4-0.3,0.7,1.4,2.5,6
M1.6-0.35,0.7,1.5,2.5,6
M1.8-0.35,0.7,1.6,2.5,6
M2-0.4,0.9,1.7,3,10
M2.5-0.45,1.3,2,3,10
M3-0.5,1.5,2,3,20
M4-0.7,2,2.5,4,20
M5-0.8,2.5,3,5,25
M6-1,3,3.5,6,35
M8-1.25,4,5,8,40
M10-1.5,5,6,10,40
M12-1.75,6,8,16,40
M14-2,6,9,,
M16-2,8,10,20,40
M18-2.5,10,11,,
M20-2.5,10,12,20,50
M22-2.5,12,13.5,,
M24-3,12,1,25,60
