Size,din1662:c,din1662:dc,din1662:k,din1662:s,din1662:short,din1662:long,din1665:c,din1665:dc,din1665:k,din1665:s,din1665:short,din1665:long
M5-0.8,1,11.4,5.6,7,10,50,1,11.8,5.8,8,10,50
M6-1,1.1,13.6,6.9,8,12,60,1.1,14.2,6.6,10,12,60
M8-1.25,1.2,17,8.5,10,16,80,1.2,18,8.1,13,16,80
M10-1.5,1.5,20.8,9.7,13,20,100,1.5,22.3,10.4,16,20,100
M12-1.75,1.8,24.7,12.1,16,25,120,1.8,26.6,11.8,18,25,120
M14-2,2.1,28.6,12.9,18,30,140,2.1,30.5,13.7,21,30,140
M16-2,2.4,32.8,15.2,21,35,160,2.4,35,15.4,24,35,160
M20-2.5,,,,,,,3,43,18.9,30,65,200
