Size,iso7092:d1,iso7092:d2,iso7092:h
M1,1.1,2.5,0.35
M1.2,1.3,3,0.35
M1.4,1.5,3,0.35
M1.6,1.7,3.5,0.35
M1.8,2,4,0.35
M2,2.2,4.5,0.35
M2.5,2.7,5,0.55
M3,3.2,6,0.55
M3.5,3.7,7,0.55
M4,4.3,8,0.55
M5,5.3,9,1.1
M6,6.4,11,1.8
M8,8.4,15,1.8
M10,10.5,18,1.8
M12,13,20,2.2
M14,15,24,2.7
M16,17,28,2.7
M18,19,30,2.7
M20,21,34,3.3
M24,25,39,4.3
M30,31,50,4.3
M36,37,58,5.6
